Date,Area,Region,Trigger,Depth,Width
2/14/2019,Kessler Peak,Salt Lake,Skier,6,50
2/14/2019,Big Cottonwood Canyon,Salt Lake,Natural,10,100
2/14/2019,Reynolds Peak,Salt Lake,Natural,6,300
2/14/2019,The Ice Box,Salt Lake,Unknown,,
2/10/2019,Murdock Peak,Salt Lake,Natural,2,250

2/10/2019,Snake Creek,Salt Lake,Natural,,
2/8/2019,White Pine,Salt Lake,Natural,12,50
2/8/2019,Pioneer Ridge,Salt Lake,Skier,2,100
2/8/2019,Highway to Heaven,Salt Lake,,,
2/8/2019,Cardiff Fork,Salt Lake,Unknown,,60
2/8/2019,Preston Peak,Salt Lake,Skier,3,100
2/8/2019,Little Superior,Salt Lake,Skier,8,50
2/7/2019,Squaretop,Salt Lake,Skier,18,250
2/7/2019,Pioneer Ridge,Salt Lake,Skier,12,100
2/7/2019,,Salt Lake,Skier,6,
2/7/2019,Wolverine Cirque,Salt Lake,Natural,,
2/6/2019,Great White Icicle,Salt Lake,Natural,,
2/6/2019,Great White Icicle,Salt Lake,Natural,,
2/6/2019,Mineral Fork,Salt Lake,Natural,,
2/6/2019,Big Willow,Salt Lake,Natural,,
2/6/2019,Ivory Flakes,Salt Lake,Natural,4,300
2/5/2019,South Monitor Bowl,Salt Lake,Natural,8,"1,500"
2/5/2019,Patsy Marly,Salt Lake,Skier,10,10
2/5/2019,Butler Pocket,Salt Lake,Natural,,
2/5/2019,Mill D North,Salt Lake,Natural,,
2/5/2019,10420,Salt Lake,Skier,10,200
2/5/2019,Days Headwall,Salt Lake,Snowboarder,4,60
2/5/2019,Scotts Peak,Salt Lake,Natural,4.5,"1,000"
2/5/2019,South Monitor Bowl,Salt Lake,Natural,,50
2/4/2019,Cone,Salt Lake,Skier,2,60
2/4/2019,Little Water Peak,Salt Lake,Skier,3,200
2/3/2019,Pioneer Peak,Salt Lake,Snowboarder,2,300
2/3/2019,10420,Salt Lake,Snowmobiler,,
2/2/2019,Mineral Fork,Salt Lake,Snowboarder,6,40
2/2/2019,Coalpit 4,Salt Lake,Natural,,10
2/2/2019,Little Cottonwood Canyon,Salt Lake,Natural,,
1/27/2019,Alexander Basin,Salt Lake,Unknown,,
1/27/2019,Little Pine,Salt Lake,Natural,,30
1/25/2019,Superior,Salt Lake,Snowboarder,,
1/25/2019,Summit Park,Salt Lake,Snowboarder,14,70
1/24/2019,East Bowl,Salt Lake,Natural,3,
1/23/2019,Wilson Chutes,Salt Lake,Skier,16,20
1/23/2019,Depth Hoar Bowl,Salt Lake,Natural,12,40
1/23/2019,Porter Fork,Salt Lake,Natural,,80
1/22/2019,Bonneville Shoreline Trail,Salt Lake,Natural,6,20
1/21/2019,Emma Ridges,Salt Lake,Skier,16,250
